Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8402800382340025
Random Forest,0.7877927608232789,0.629757785467128,0.48663101604278075,0.5490196078431373,0.8246790152160995
XGBoost,0.7806955287437899,0.6012461059190031,0.516042780748663,0.5553956834532374,0.8155971479500891
